"","Datetime","Tweet.URL","Tweet.Id","Tweet.User.Id","Text","Username","User.Location","replyCount","retweetCount","likeCount","quoteCount","language","retweetedTweet","quotedTweet","mentionedUsers","clean_text"
"3806","2020-03-20 16:17:13+00:00","https://twitter.com/LinetteMLim/status/1241036082201808896",1241036082201808896,797812808,"Majority of the daily new #coronavirus cases in #Singapore now are citizens and permanent residents returning from Europe (mainly the UK) and US. That suggests widespread community transmission in key cities there https://t.co/LHKqAgB42w","LinetteMLim","Shanghai",0,5,3,1,"en",NA,"https://twitter.com/CBSNews/status/1240371160078000128","","majority daily new cases now citizens permanent residents returning europe mainly uk us suggests widespread community transmission key cities"
"3807","2020-03-20 16:16:13+00:00","https://twitter.com/shxryxnne/status/1241035829071368192",1241035829071368192,284011215,"wow bars in sg are thriving man what is covid 19","shxryxnne","Singapore",0,1,2,0,"en",NA,"","","wow bars sg thriving man covid"
"3808","2020-03-20 16:11:22+00:00","https://twitter.com/itsmeamarboy/status/1241034608436625408",1241034608436625408,2952375548,"Well not malaysians who stayed in singapore now! 
#malaysia #Covid_19 https://t.co/lklzIhkHXL","itsmeamarboy","Johore, Malaysia",0,0,0,0,"en",NA,"https://twitter.com/ChannelNewsAsia/status/1240999701526151169","","well malaysians stayed singapore now"
"3809","2020-03-20 15:45:44+00:00","https://twitter.com/Cloud9kam/status/1241028155298566144",1241028155298566144,204646135,"Now i can say, whose God is going to stop covid-19...🤔🤔","Cloud9kam","Mueang Pattaya, Thailand",0,1,2,0,"en",NA,"","","now can say whose god going stop covid"
"3810","2020-03-20 15:24:28+00:00","https://twitter.com/ToonWeiLim/status/1241022804771975168",1241022804771975168,780258576388325376,"One city was hit hard by #SARSCoV, one wasn't. Guess which one is doing the right thing. #StayAtHome #Covid_19 #ItsNotAboutYou https://t.co/otew5yteBh","ToonWeiLim","Singapore",0,0,2,0,"en",NA,"https://twitter.com/Scott_Gilmore/status/1240997925964185600","","one city hit hard one wasn t guess one right thing"
"3811","2020-03-20 15:14:24+00:00","https://twitter.com/ObnoxiousUsher/status/1241020272783904770",1241020272783904768,78455156,"Welcome to our world. 

#BuwisBuhay
#WhatVirus
#CoronaVirus
#CTTO
#NoVirusCanStopUs 
#WorkWorkWork @ Singapore https://t.co/QBM2rC34ZH","ObnoxiousUsher","Singapore",0,0,0,0,"en",NA,"","","welcome world singapore"
"3812","2020-03-20 15:13:26+00:00","https://twitter.com/thebendingone/status/1241020026628399105",1241020026628399104,173006367,"think of the dumbest, stupidest, most aggravating person you’ve ever come across...I guarantee you that that person will not die of the coronavirus. It’s going to take the wrong ones","thebendingone","Singapore",3,0,15,0,"en",NA,"","","think dumbest stupidest aggravating person youve ever come across guarantee person die coronavirus going take wrong ones"
"3813","2020-03-20 14:48:42+00:00","https://twitter.com/yrdnehluap/status/1241013803187232770",1241013803187232768,2414433138,"East or West... a decision coming for all nations. No longer will you be able to sit on the fence. #coronavirus #usa #China","yrdnehluap","Singapore",0,0,0,0,"en",NA,"","","east west decision coming nations longer able sit fence"
"3814","2020-03-20 14:16:15+00:00","https://twitter.com/ErosLomboy/status/1241005636210397185",1241005636210397184,329429782,"Whats up audiopeeps!
Lets spread the good vibes this COVID period https://t.co/c1kqKdXn1J","ErosLomboy","Singapore",0,0,0,0,"en",NA,"","","whats audiopeeps lets spread good vibes covid period"
"3815","2020-03-20 14:00:06+00:00","https://twitter.com/christiiineeee/status/1241001571816591361",1241001571816591360,44994710,"""For people who are experiencing domestic violence, mandatory lockdowns to curb the spread of COVID-19 (the disease caused by the new coronavirus) have trapped them in their homes with their abusers"" https://t.co/yF0CIcRam7","christiiineeee","Singapore",1,2,0,0,"en",NA,"","","people experiencing domestic violence mandatory lockdowns curb spread covid disease caused new coronavirus trapped homes abusers"
"3816","2020-03-20 13:57:16+00:00","https://twitter.com/wheredidjamesgo/status/1241000859355320321",1241000859355320320,1017160687263469568,"My investment value already dropped by half a million due to this covid. 😭😭😭","wheredidjamesgo","中区, 新加坡",1,0,4,0,"en",NA,"","","investment value already dropped half million due covid"
"3817","2020-03-20 13:15:30+00:00","https://twitter.com/iwanteggtarts/status/1240990350170189824",1240990350170189824,895845794544181248,"Friend: This is the longest time i havent seen my boyfriend(his bf is in PH and she cant go home because of COVID)
Me: This is the longest time i havent seen Stray Kids

She almost choked after hearing what i said 😂😂😂😂  hahhahaha! #priorities","iwanteggtarts","SG/PH",2,2,107,3,"en",NA,"","","friend longest time havent seen boyfriend bf ph cant go home covid longest time havent seen stray kids almost choked hearing said hahhahaha"
"3818","2020-03-20 12:58:18+00:00","https://twitter.com/jasondlp/status/1240986019870068738",1240986019870068736,178040437,"Take your mind off #coronavirus for a while and read this 👇🏼👇🏼 https://t.co/xdjTKb7WQH","jasondlp","Asia",0,0,1,0,"en",NA,"https://twitter.com/guardian_sport/status/1240983101028937728","","take mind read"
"3819","2020-03-20 12:43:15+00:00","https://twitter.com/indroburito/status/1240982232883290112",1240982232883290112,554034905,"Where’s the fucking COVID vaccine???!?","indroburito","",1,0,0,0,"en",NA,"","","wheres fucking covid vaccine"
"3820","2020-03-20 12:26:24+00:00","https://twitter.com/jasondlp/status/1240977995164045312",1240977995164045312,178040437,"So so clever. The Lion City leading from the front once again. Proud to say that this island is my home. 👏🏼🙌🏼👍🏼🙏🏼 #coronavirus #covid19 
Singapore launches TraceTogether mobile app to boost COVID-19 contact tracing efforts
https://t.co/D6IRkPZ9lW","jasondlp","Asia",0,1,1,0,"en",NA,"","","clever lion city leading front proud say island home singapore launches tracetogether mobile app boost covid contact tracing efforts"
"3821","2020-03-20 12:02:11+00:00","https://twitter.com/kwameboafo/status/1240971899066150912",1240971899066150912,140083507,"Against Agamben: Is a Democratic Biopolitics Possible? https://t.co/ELylXYvoFB #Agamben #Biopolitics #Coronavirus #COVID-19 #Foucault via @critlegthinking","kwameboafo","Singapore",0,0,0,0,"en",NA,"","[User(username='critlegthinking', displayname='CLT', id=218858750, description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None)]","agamben democratic biopolitics possible"
